f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,p,t,rh
20.427842,19.33633911,17.04100193,13.93034682,13.27522158,12.61865125,13.38282274,104.784711,145.8786898,245.041763,270.7934971,273.8827264,274.2056936,274.3097013,1021.575671,279.1861676,51.88405207
29.35191889,28.21084075,24.51072206,19.88893175,18.82195846,17.90837784,19.12777448,111.9274481,151.6763403,247.3384768,272.5410386,276.9184471,277.4660732,277.7860831,1019.973899,284.5,47.89775561
27.86914683,26.88219246,24.02944444,20.1485119,19.33864087,18.7164881,20.2187004,112.6674802,152.3816071,247.1016369,271.3850595,274.951756,275.31375,275.5143552,1023.693,282,51.86058333
33.28141294,32.59332338,29.93983085,26.21125373,25.53239801,25.29220896,27.89459701,121.9768358,159.3911841,248.4132338,271.1812438,275.4546667,276.0801791,276.3240796,1022.398157,283.1358459,45.70544389
32.32514591,31.03032101,27.34738327,22.02393969,20.77670233,19.56479572,20.49697471,112.6027237,152.0630058,246.3814591,270.1903696,273.4908852,273.9430837,274.2070525,1023.745357,281.5860312,52.53451109
23.00068269,22.06476923,19.58196154,15.96765385,15.00932692,14.02467308,14.70696154,106.7302788,146.6999712,242.9114327,267.8857019,272.0998654,272.6250769,273.0454038,1026.628084,279.748539,57.15795455
15.17775097,14.44133205,13.30887066,11.75651544,11.44076255,11.21182432,12.44491313,104.4669884,144.7457432,241.7384363,267.194305,271.1219208,271.6186004,271.852471,1028.085819,277.8256724,57.00114099
12.2793198,12.23935025,11.76351269,10.89478173,10.80847716,10.68553299,11.93410152,102.5510152,143.9696853,245.4009543,272.9854924,277.6833401,278.2198782,278.5304873,1016.299764,284.8197006,44.11331757
13.4242236,13.25253623,12.64385093,11.49809524,11.28756729,11.05784679,12.16766046,102.7866149,144.1475673,245.3113251,272.4581263,275.6983333,275.8624017,275.9370807,1016.261852,279.4387071,60.86656026
14.18175077,14.10624099,12.77499485,11.38660144,11.09110196,10.85980433,11.88444902,101.8777137,144.2507621,247.8379815,276.367312,280.6591555,281.0306179,281.3350566,1012.176013,286.8442415,43.1268467
18.29220497,17.58057971,15.99307453,13.40016563,12.81012422,12.2171118,13.10032091,103.4199586,145.0174224,246.9312008,274.3704555,277.7639027,277.8133023,277.7842029,1013.646768,280.1081405,62.00790104
27.84511198,26.91407984,23.42949367,18.28855891,16.90492697,15.35151899,15.3492113,105.5414606,148.0937683,253.1287829,281.8627264,286.5771665,286.9360954,287.1855988,1005.919606,292.2282199,46.29647252
39.44251946,38.59638132,33.65513619,25.27607004,22.95350195,20.15751946,19.30255837,108.8886576,150.2432004,252.7526556,280.8511089,284.6505545,284.8569844,284.7811284,1002.397871,285.6288288,59.98484848
46.31953327,45.29658391,39.97102284,30.89947368,28.46466733,25.76161867,25.60213505,116.9299503,156.6485601,254.8102085,282.6458391,287.7693942,288.2367726,288.3949454,998.1942404,294.2313022,50.31661102
